instance_sn,creation_time
instance_7283,0.0
instance_7282,0.0
instance_7284,0.0
instance_7285,0.0
instance_7280,0.0
instance_7286,60.99999999999994
instance_7287,80.99999999999994
instance_7281,134.99999999999994
instance_7288,211.99999999999994
instance_7289,260.99999999999994
instance_7290,262.99999999999994
instance_7291,262.99999999999994
instance_7292,562.0
instance_7293,1165.0
instance_7294,1942.0
instance_7295,1943.0
instance_7297,2962.0
instance_7299,3360.000000000001
instance_7298,3360.000000000001
instance_7300,3498.000000000001
instance_7301,3499.000000000001
instance_7302,3537.000000000001
instance_7303,3800.0
instance_7304,3800.0
instance_7305,3800.0
instance_7306,3800.0
instance_7307,4315.0
instance_7308,4348.0
instance_7296,5212.0
instance_7310,5747.0
instance_7309,5747.0
instance_7311,5747.0
instance_7312,5747.0
instance_7313,6999.000000000001
instance_7314,7060.000000000001
instance_7316,7689.000000000001
instance_7317,8032.0
instance_7318,8499.0
instance_7319,8649.0
instance_7320,8649.0
instance_7315,8948.0
instance_7321,9159.0
instance_7322,11205.0
instance_7323,11206.0
instance_7324,12618.0
instance_7325,13066.0
instance_7326,13889.0
instance_7327,14929.000000000002
instance_7328,15371.000000000002
instance_7329,15372.000000000002
instance_7330,15572.000000000002
instance_7331,15811.000000000002
instance_7332,15811.000000000002
instance_7336,16705.0
instance_7333,16705.0
instance_7337,16705.0
instance_7335,16705.0
instance_7334,16705.0
instance_7338,17160.0
instance_7339,17161.0
instance_7340,17612.0
instance_7341,19034.0
instance_7342,20472.0
instance_7343,20772.0
instance_7344,20772.0
instance_7345,21433.0
instance_7346,21732.0
instance_7347,22362.0
instance_7348,22362.0
instance_7349,22489.0
instance_7350,23818.0
instance_7351,23921.0
instance_7352,23921.0
instance_7353,24043.0
instance_7355,24670.0
instance_7354,24670.0
instance_7356,25600.0
instance_7357,26256.0
instance_7358,26827.0
instance_7359,26983.0
instance_7360,28298.0
instance_7361,28299.0
instance_7362,29845.000000000004
instance_7363,29846.000000000004
instance_7364,30071.000000000004
instance_7366,30358.000000000004
instance_7365,30424.000000000004
instance_7372,30758.000000000004
instance_7368,30758.000000000004
instance_7370,30758.000000000004
instance_7369,30758.000000000004
instance_7367,30758.000000000004
instance_7371,30758.000000000004
instance_7373,30810.000000000004
instance_7375,30957.000000000004
instance_7374,30957.000000000004
instance_7377,30961.000000000004
instance_7376,30961.000000000004
instance_7378,31587.000000000004
instance_7379,31886.000000000004
instance_7380,31886.000000000004
instance_7381,32444.0
instance_7382,32530.0
instance_7383,32969.0
instance_7384,33131.0
instance_7385,33459.0
instance_7387,33870.0
instance_7386,33870.0
instance_7388,34560.0
instance_7389,35510.0
instance_7390,36559.0
instance_7392,36844.0
instance_7391,36844.0
instance_7393,36844.0
instance_7394,36844.0
instance_7397,36845.0
instance_7396,36845.0
instance_7395,36845.0
instance_7398,37378.0
instance_7399,37378.0
instance_7400,37415.0
instance_7401,37445.0
instance_7402,37509.0
instance_7403,37534.0
instance_7404,37564.0
instance_7405,37565.0
instance_7406,37744.0
instance_7408,37804.0
instance_7409,37849.0
instance_7411,37924.0
instance_7412,38024.0
instance_7413,38074.0
instance_7414,38088.0
instance_7415,38173.0
instance_7416,38195.0
instance_7417,38324.0
instance_7407,38595.0
instance_7410,38597.0
instance_7418,38628.0
instance_7419,38630.0
instance_7420,38676.0
instance_7421,38945.0
instance_7422,38945.0
instance_7424,39545.0
instance_7426,39545.0
instance_7425,39545.0
instance_7428,39547.0
instance_7427,39547.0
instance_7429,39805.0
instance_7430,40209.0
instance_7433,40538.0
instance_7431,40620.0
instance_7432,40695.0
instance_7434,40805.0
instance_7423,41146.0
instance_7436,41196.0
instance_7435,41892.0
instance_7437,42253.0
instance_7438,42253.0
instance_7439,42879.0
instance_7440,43003.0
instance_7441,43162.0
instance_7442,43963.0
instance_7443,44362.0
instance_7445,44805.0
instance_7446,44805.0
instance_7447,44805.0
instance_7448,44805.0
instance_7451,44805.0
instance_7449,44805.0
instance_7466,44806.0
instance_7467,44806.0
instance_7468,44806.0
instance_7452,44806.0
instance_7444,44806.0
instance_7450,44806.0
instance_7456,44806.0
instance_7457,44806.0
instance_7458,44806.0
instance_7459,44806.0
instance_7460,44806.0
instance_7461,44806.0
instance_7462,44806.0
instance_7463,44806.0
instance_7464,44806.0
instance_7465,44806.0
instance_7454,44806.0
instance_7455,44806.0
instance_7453,44806.0
instance_7469,45136.0
instance_7470,45227.0
instance_7471,45617.0
instance_7473,46071.0
instance_7472,46071.0
instance_7474,46071.0
instance_7475,46401.0
instance_7476,47326.0
instance_7477,48392.0
instance_7478,48891.0
instance_7481,49231.0
instance_7480,49231.0
instance_7482,49231.0
instance_7479,49232.0
instance_7483,49232.0
instance_7484,49321.0
instance_7485,49351.0
instance_7486,49352.0
instance_7487,49381.0
instance_7488,49411.0
instance_7489,49891.0
instance_7490,50041.0
instance_7491,50062.0
instance_7492,50821.0
instance_7493,51513.0
instance_7495,52246.0
instance_7494,52246.0
instance_7496,52248.0
instance_7497,53900.0
instance_7498,54161.0
instance_7500,55074.0
instance_7499,55074.0
instance_7501,55104.0
instance_7502,55132.0
instance_7503,55137.0
instance_7504,55141.0
instance_7505,55144.0
instance_7506,55149.0
instance_7508,55152.0
instance_7507,55152.0
instance_7509,55157.0
instance_7510,55170.0
instance_7511,55183.0
instance_7512,55190.0
instance_7513,55222.0
instance_7514,55259.0
instance_7515,55628.0
instance_7517,57459.0
instance_7516,57459.0
instance_7518,58088.00000000001
instance_7519,58298.00000000001
instance_7520,58709.00000000001
instance_7521,59228.00000000001
instance_7522,59429.00000000001
instance_7523,61851.00000000001
instance_7525,62257.00000000001
instance_7524,62257.00000000001
instance_7527,63038.00000000001
instance_7526,63038.00000000001
instance_7528,63099.00000000001
instance_7529,63620.00000000001
instance_7530,64368.00000000001
instance_7531,65109.0
instance_7533,65544.0
instance_7536,65544.0
instance_7534,65544.0
instance_7532,65544.0
instance_7535,65544.0
instance_7537,65692.0
instance_7538,65992.0
instance_7540,67222.0
instance_7539,67223.0
instance_7541,67224.0
instance_7542,67408.0
instance_7543,68874.0
instance_7544,69118.0
instance_7545,70229.0
instance_7546,71058.0
instance_7547,71399.0
instance_7549,72506.0
instance_7548,72506.0
instance_7550,73019.0
instance_7551,73592.0
instance_7552,74242.0
instance_7553,74271.0
instance_7554,74301.0
instance_7555,74550.0
instance_7556,74871.0
instance_7557,75599.0
instance_7558,75899.0
instance_7559,76500.0
instance_7560,77975.0
instance_7562,78097.0
instance_7563,78097.0
instance_7561,78097.0
instance_7564,78637.0
instance_7565,78787.0
instance_7566,78951.0
instance_7568,79283.0
instance_7567,79283.0
instance_7569,80198.0
instance_7571,83507.0
instance_7570,83507.0
instance_7572,83537.0
instance_7573,83567.0
instance_7574,83684.0
instance_7575,83685.0
instance_7576,83714.0
instance_7577,83864.0
instance_7579,84164.0
instance_7578,84164.0
instance_7580,84255.0
instance_7582,84497.0
instance_7581,84497.0
instance_7583,84525.0
instance_7584,84827.0
instance_7585,85490.0
instance_7586,85817.0
instance_7588,87100.0
instance_7587,87101.0
instance_7589,87521.0
instance_7590,87736.0
instance_7592,87754.0
instance_7593,87850.0
instance_7594,88424.0
instance_7595,88510.0
instance_7596,88654.0
instance_7591,88820.0
instance_7597,89015.0
instance_7598,90275.0
instance_7599,90277.0
instance_7600,90278.0
instance_7601,90278.0
instance_7603,90755.0
instance_7602,90879.0
instance_7606,91151.0
instance_7605,91151.0
instance_7604,91151.0
instance_7608,91152.0
instance_7607,91152.0
instance_7610,91413.0
instance_7609,91413.0
instance_7611,91722.0
instance_7612,91986.0
instance_7613,92187.0
instance_7614,92485.0
instance_7616,92486.0
instance_7618,92486.0
instance_7617,92486.0
instance_7615,92486.0
instance_7619,92975.0
instance_7621,92997.0
instance_7620,92997.0
instance_7622,94345.0
instance_7624,94792.0
instance_7623,94792.0
instance_7625,94896.0
instance_7626,95122.0
instance_7628,95452.0
instance_7627,95452.0
instance_7629,96022.0
instance_7630,96391.0
instance_7631,96982.0
instance_7632,97982.0
instance_7633,97984.0
instance_7636,98277.0
instance_7638,98277.0
instance_7635,98278.0
instance_7634,98278.0
instance_7637,98280.0
instance_7639,98415.0
instance_7640,99087.0
instance_7641,99416.0
instance_7642,100168.0
instance_7643,100498.0
instance_7644,100535.0
instance_7645,101728.0
instance_7646,103212.0
instance_7647,104551.0
instance_7648,104678.0
instance_7649,104763.0
instance_7650,104764.0
instance_7651,104764.0
instance_7652,105007.0
instance_7653,107514.0
instance_7654,108418.0
instance_7655,108448.0
instance_7656,109259.0
instance_7657,112075.0
instance_7658,112136.0
instance_7659,112165.0
instance_7660,112814.0
instance_7661,114571.0
instance_7662,115005.0
instance_7663,115051.0
instance_7664,116111.0
instance_7665,116228.0
instance_7666,116257.0
instance_7668,116288.0
instance_7667,116288.0
instance_7669,116317.0
instance_7670,116797.0
instance_7671,116919.0
instance_7673,117888.0
instance_7672,117888.0
instance_7674,118297.0
instance_7675,120040.0
instance_7676,121868.0
instance_7677,122110.0
instance_7678,122979.0
instance_7680,123716.0
instance_7679,123716.0
instance_7681,124061.0
instance_7682,124449.0
instance_7683,124450.0
instance_7684,124872.0
instance_7685,125280.0
instance_7686,125284.0
instance_7687,126402.0
instance_7688,126818.0
instance_7690,127127.0
instance_7689,127127.0
instance_7691,127524.0
instance_7696,128098.0
instance_7697,128098.0
instance_7695,128098.0
instance_7694,128098.0
instance_7693,128098.0
instance_7692,128098.0
instance_7701,128098.0
instance_7700,128098.0
instance_7703,128099.0
instance_7702,128099.0
instance_7699,128099.0
instance_7704,128099.0
instance_7698,128099.0
instance_7705,128610.0
instance_7706,128878.0
