instance_sn,creation_time
instance_7300,3973.000000000001
instance_7301,3974.000000000001
instance_7302,4012.000000000001
instance_7308,4823.0
instance_7319,9124.0
instance_7320,9124.0
instance_7324,13093.0
instance_7328,15846.000000000002
instance_7329,15847.000000000002
instance_7379,32361.000000000004
instance_7380,32361.000000000004
instance_7398,37853.0
instance_7399,37853.0
instance_7439,43354.0
instance_7443,44837.0
instance_7477,48867.0
instance_7494,52721.0
instance_7495,52721.0
instance_7496,52723.0
instance_7497,54375.0
instance_7502,55607.0
instance_7503,55612.0
instance_7504,55616.0
instance_7505,55619.0
instance_7506,55624.0
instance_7508,55627.0
instance_7507,55627.0
instance_7509,55632.0
instance_7510,55645.0
instance_7511,55658.0
instance_7512,55665.0
instance_7513,55697.0
instance_7514,55734.0
instance_7524,62732.00000000001
instance_7525,62732.00000000001
instance_7537,66167.0
instance_7548,72981.0
instance_7549,72981.0
instance_7558,76374.0
instance_7568,79758.0
instance_7567,79758.0
instance_7590,88211.0
instance_7610,91888.0
instance_7609,91888.0
instance_7614,92960.0
instance_7617,92961.0
instance_7618,92961.0
instance_7616,92961.0
instance_7615,92961.0
instance_7621,93472.0
instance_7620,93472.0
instance_7630,96866.0
instance_7632,98457.0
instance_7633,98459.0
instance_7644,101010.0
instance_7646,103687.0
instance_7653,107989.0
instance_7671,117394.0
instance_7679,124191.0
instance_7680,124191.0
instance_7688,127293.0
instance_7690,127602.0
instance_7689,127602.0
instance_7719,134463.0
instance_7718,134463.0
instance_7752,137879.0
instance_7791,141306.0
instance_7796,142439.0
instance_7797,142442.0
instance_7815,147950.0
instance_7816,147951.0
instance_7817,147952.0
instance_7818,148111.0
instance_7819,148111.0
instance_7835,151500.0
instance_7853,158284.0
instance_7857,158954.0
instance_7858,158955.0
instance_7872,161661.0
instance_7885,165052.0
instance_7886,165053.0
instance_7911,171829.0
instance_7912,171830.0
instance_7945,175207.0
instance_7965,178311.0
instance_7966,178605.0
instance_7996,182560.0
instance_8012,186996.0
instance_8036,192289.0
instance_8035,192292.0
instance_8041,193221.0
instance_8048,195719.0
instance_8047,195719.0
instance_8057,199128.0
instance_8061,202545.0
instance_8066,203052.0
instance_8065,203052.0
instance_8078,205959.0
instance_8079,205959.0
instance_8087,208608.0
instance_8091,209374.0
instance_8090,209374.0
instance_8095,210500.0
instance_8096,210510.0
instance_8097,210513.0
instance_8098,210518.0
instance_8100,210519.0
instance_8099,210519.0
instance_8101,210520.0
instance_8102,210521.0
instance_8103,210531.0
instance_8104,210535.0
instance_8105,210545.0
instance_8113,210546.0
instance_8109,210546.0
instance_8116,210546.0
instance_8106,210546.0
instance_8111,210546.0
instance_8117,210546.0
instance_8112,210546.0
instance_8107,210547.0
instance_8115,210547.0
instance_8110,210547.0
instance_8108,210547.0
instance_8114,210547.0
instance_8118,210547.0
instance_8119,210577.0
instance_8135,212294.0
instance_8134,212294.0
instance_8131,212294.0
instance_8133,212295.0
instance_8132,212295.0
instance_8136,212295.0
instance_8138,212327.0
instance_8139,212327.0
instance_8147,213090.0
instance_8149,213092.0
instance_8148,213092.0
instance_8151,213092.0
instance_8150,213092.0
instance_8152,213092.0
instance_8173,213977.0
instance_8170,213977.0
instance_8168,213977.0
instance_8169,213977.0
